                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                  "aarch64-macos-23.10.1"                                 "CRMATH"                               "20231122"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      472                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466883971977767E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466883971977767E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000645090532E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000645090532E+001                 -1.6847000645090532E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6177785360112198E+000                  3.9556053559998330E+000                  2.2648987668419740E+000                  1.0843613526748657E+000                  0.0000000000000000E+000                  9.3424818235455085E+000                 -4.5894071126272999E+000                  5.7520678831509908E+000                  6.2187853084057099E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861305E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                       5                                      489                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0025725813759374E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0025725813759374E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000403128138E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000403128138E+001                 -1.6847000403128138E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178902007486142E+000                  3.9560531820041098E+000                  2.2648993503693244E+000                  1.0843601856201655E+000                  0.0000000000000000E+000                  9.3424818845435524E+000                 -4.5894070657461921E+000                  5.7520678976520667E+000                  6.2187853082195554E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861223E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      10                                      489                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0026457619637110E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0026457619637110E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846999660509269E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846999660509269E+001                 -1.6846999660509269E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179183388049458E+000                  3.9561656566642962E+000                  2.2648993115867535E+000                  1.0843602631853069E+000                  0.0000000000000000E+000                  9.3424820690292361E+000                 -4.5894069250828595E+000                  5.7520679422452190E+000                  6.2187853076427102E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861214E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      15                                      489                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0028314464669978E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0028314464669978E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846997799040192E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846997799040192E+001                 -1.6846997799040192E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179018548342055E+000                  3.9560989891407021E+000                  2.2648989457664368E+000                  1.0843609948259405E+000                  0.0000000000000000E+000                  9.3424825307282067E+000                 -4.5894065733640970E+000                  5.7520680540471272E+000                  6.2187853061952825E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861223E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      20                                      489                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0033168468052660E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0033168468052660E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846993171441056E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846993171441056E+001                 -1.6846993171441056E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178875447857712E+000                  3.9560405726747470E+000                  2.2648983576303281E+000                  1.0843621710981579E+000                  0.0000000000000000E+000                  9.3424836786608356E+000                 -4.5894056987704124E+000                  5.7520683319526702E+000                  6.2187853025978324E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861214E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      25                                      489                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0046803192948291E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0046803192948291E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846981658160864E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846981658160864E+001                 -1.6846981658160864E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178769293125348E+000                  3.9559959689638244E+000                  2.2648972867213395E+000                  1.0843643129161344E+000                  0.0000000000000000E+000                  9.3424865336798391E+000                 -4.5894035234081638E+000                  5.7520690230237657E+000                  6.2187852936526089E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861223E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      30                                      489                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0090976023156959E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0090976023156959E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846952991895453E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846952991895453E+001                 -1.6846952991895453E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178702526609761E+000                  3.9559648575083730E+000                  2.2648950842967301E+000                  1.0843687177653534E+000                  0.0000000000000000E+000                  9.3424936334139499E+000                 -4.5893981132943003E+000                  5.7520707412091463E+000                  6.2187852714142910E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861214E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      35                                      489                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0260122912444532E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0260122912444532E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846881568551066E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846881568551066E+001                 -1.6846881568551066E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178676960399789E+000                  3.9559448807940276E+000                  2.2648902091815519E+000                  1.0843784679957105E+000                  0.0000000000000000E+000                  9.3425112840670756E+000                 -4.5893846613742557E+000                  5.7520750115942025E+000                  6.2187852161493873E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861223E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
                                      40                                      489                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0861127908835382E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142218E-001                  2.0861127908835382E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846703586294886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846703586294886E+001                 -1.6846703586294886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178678694391140E+000                  3.9559228617753179E+000                  2.2648788528739283E+000                  1.0844011806109575E+000                  0.0000000000000000E+000                  9.3425551630409576E+000                 -4.5893512155093070E+000                  5.7520856244972265E+000                  6.2187850788171950E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861214E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712320E+000                                        0                                        2 
